stateID,dimRec,Sample,LogLik,LogLik_true,rankTrue,numTrials
d2s0,2,46656,-100043.488144,-100044.665211,1,100
d2s0,2,47089,-100969.559913,-100970.717447,1,100
d2s0,2,47524,-101903.564039,-101904.717181,1,100
d2s0,2,47961,-102839.60992,-102840.783799,1,100
d2s0,2,48400,-103781.004343,-103782.213226,1,100
d2s0,2,48841,-104729.852101,-104731.077863,1,100
d2s0,2,49284,-105682.210784,-105683.460912,1,100
d2s0,2,49729,-106636.882437,-106638.144824,1,100
d2s0,3,1,-1.3367527,-2.261411,1,100
d2s0,3,4,-7.4571957,-9.2316092,1,100
d2s0,3,8,-15.9766759,-18.0874319,1,100
d2s0,3,9,-18.1699621,-20.2732595,1,100
d2s0,3,16,-33.1466806,-35.4179982,1,100
d2s0,3,25,-52.7943237,-55.3080588,1,100
d2s0,3,27,-57.1098757,-59.6634697,1,100
d2s0,3,36,-76.604567,-79.3401872,1,100
d2s0,3,49,-105.4528207,-108.3286692,1,100
d2s0,3,64,-137.7069963,-140.3257362,1,100
d2s0,3,81,-174.8417269,-177.5068599,1,100
d2s0,3,100,-216.1753051,-218.7245306,1,100
d2s0,3,121,-262.5002674,-265.1603232,1,100
d2s0,3,125,-271.1391276,-273.7657233,1,100
d2s0,3,144,-312.1053263,-314.7462184,1,100
d2s0,3,169,-366.0583176,-368.7000596,1,100
d2s0,3,196,-424.0735927,-426.6468922,1,100
d2s0,3,216,-467.2983861,-469.9765454,1,100
d2s0,3,225,-486.2971425,-489.0274978,1,100
d2s0,3,256,-553.2935131,-556.0676582,1,100
d2s0,3,289,-624.1868605,-626.9831636,1,100
d2s0,3,324,-699.1575245,-701.789374,1,100
d2s0,3,343,-739.8737025,-742.4963325,1,100
d2s0,3,361,-778.4880851,-781.0521966,1,100
d2s0,3,400,-862.8857059,-865.4736525,1,100
d2s0,3,441,-950.4521734,-952.9817735,1,100
d2s0,3,484,-1042.8162917,-1045.4371822,1,100
d2s0,3,512,-1102.5935774,-1105.1787389,1,100
d2s0,3,529,-1139.0803096,-1141.6702324,1,100
d2s0,3,576,-1240.2651668,-1242.811162,1,100
d2s0,3,625,-1344.4122864,-1346.9123088,1,100
d2s0,3,676,-1454.0121911,-1456.5721177,1,100
d2s0,3,729,-1566.1991632,-1568.7064363,1,100
d2s0,3,784,-1683.3555632,-1685.8566605,1,100
d2s0,3,841,-1806.2328548,-1808.6856508,1,100
d2s0,3,900,-1931.2577555,-1933.7653414,1,100
d2s0,3,961,-2061.8122399,-2064.3009078,1,100
d2s0,3,1000,-2144.310251,-2146.819478,1,100
d2s0,3,1024,-2194.6774666,-2197.1775785,1,100
d2s0,3,1089,-2333.4023669,-2335.9456395,1,100
d2s0,3,1156,-2477.5370114,-2480.0993515,1,100
d2s0,3,1225,-2625.8706909,-2628.5082141,1,100
d2s0,3,1296,-2777.7442884,-2780.3580899,1,100
d2s0,3,1331,-2853.2787033,-2855.9827911,1,100
d2s0,3,1369,-2935.2563407,-2937.9216131,1,100
d2s0,3,1444,-3096.8077671,-3099.5253046,1,100
d2s0,3,1521,-3262.6651552,-3265.3957047,1,100
d2s0,3,1600,-3433.7036497,-3436.4435043,1,100
d2s0,3,1681,-3607.0648244,-3609.7299505,1,100
d2s0,3,1728,-3707.4380498,-3710.0805984,1,100
d2s0,3,1764,-3784.3514228,-3786.9830829,1,100
d2s0,3,1849,-3964.3072567,-3966.889749,1,100
d2s0,3,1936,-4152.5009943,-4155.0424218,1,100
d2s0,3,2025,-4342.487804,-4345.0970132,1,100
d2s0,3,2116,-4537.9550322,-4540.6570708,1,100
d2s0,3,2197,-4711.1450836,-4713.7443934,1,100
d2s0,3,2209,-4736.8217304,-4739.4501819,1,100
d2s0,3,2304,-4941.2608078,-4943.8182035,1,100
d2s0,3,2401,-5149.7844437,-5152.2535428,1,100
d2s0,3,2500,-5363.6490063,-5366.0977645,1,100
d2s0,3,2601,-5582.1838399,-5584.6477784,1,100
d2s0,3,2704,-5803.5057739,-5806.0396593,1,100
d2s0,3,2744,-5890.2133578,-5892.7338079,1,100
d2s0,3,2809,-6028.1201659,-6030.6026581,1,100
